gene_id	symbol	description	biotype	locus	has_ortholog	human_gene_name
ENSCAFG00000003111	ADCYAP1R1	ADCYAP receptor type I [Source:VGNC Symbol;Acc:VGNC:37627]	protein_coding	14:43701745-43756571	1	ADCYAP1R1
ENSCAFG00000002266	WNK2	WNK lysine deficient protein kinase 2 [Source:VGNC Symbol;Acc:VGNC:54853]	protein_coding	1:98454799-98493085	1	WNK2
ENSCAFG00000013005	EPHB3	EPH receptor B3 [Source:VGNC Symbol;Acc:VGNC:40412]	protein_coding	34:17422842-17462954	1	EPHB3
ENSCAFG00000044997			lncRNA	38:14436668-14445112	0	<none>
ENSCAFG00000017951	DTNA	dystrobrevin alpha [Source:VGNC Symbol;Acc:VGNC:40114]	protein_coding	7:55069462-55420259	1	DTNA
ENSCAFG00000000339	AVPR1A	arginine vasopressin receptor 1A [Source:VGNC Symbol;Acc:VGNC:38318]	protein_coding	10:6265998-6269662	1	AVPR1A
ENSCAFG00000001808	KIAA1324L	KIAA1324 like [Source:VGNC Symbol;Acc:VGNC:42365]	protein_coding	14:13076932-13245319	1	KIAA1324L
ENSCAFG00000029919	CLIC3	chloride intracellular channel 3 [Source:VGNC Symbol;Acc:VGNC:39339]	protein_coding	9:48634878-48637015	1	CLIC3
ENSCAFG00000007540	MPPED2	metallophosphoesterase domain containing 2 [Source:VGNC Symbol;Acc:VGNC:43350]	protein_coding	18:36717725-36890328	1	MPPED2
ENSCAFG00000003646	SFRP4	secreted frizzled related protein 4 [Source:VGNC Symbol;Acc:VGNC:46082]	protein_coding	18:12017978-12027788	1	SFRP4
ENSCAFG00000004038	HIPK2	homeodomain interacting protein kinase 2 [Source:VGNC Symbol;Acc:VGNC:41694]	protein_coding	16:9066970-9244526	1	HIPK2
ENSCAFG00000018761	PIEZO2	piezo type mechanosensitive ion channel component 2 [Source:VGNC Symbol;Acc:VGNC:44529]	protein_coding	7:76478928-76919723	1	PIEZO2
ENSCAFG00000008664	PLEKHA7	pleckstrin homology domain containing A7 [Source:VGNC Symbol;Acc:VGNC:44671]	protein_coding	21:39427401-39645585	1	PLEKHA7
ENSCAFG00000032332	KCNJ9	potassium inwardly rectifying channel subfamily J member 9 [Source:VGNC Symbol;Acc:VGNC:42269]	protein_coding	38:22100621-22104167	1	KCNJ9
ENSCAFG00000008853	TIAM1	T cell lymphoma invasion and metastasis 1 [Source:VGNC Symbol;Acc:VGNC:56122]	protein_coding	31:25932697-26202756	1	TIAM1
ENSCAFG00000004213	ARHGEF4	Rho guanine nucleotide exchange factor 4 [Source:VGNC Symbol;Acc:VGNC:54802]	protein_coding	19:20618492-20734162	1	ARHGEF4
ENSCAFG00000002040	TFPI2	tissue factor pathway inhibitor 2 [Source:VGNC Symbol;Acc:VGNC:47302]	protein_coding	14:19399720-19403708	1	TFPI2
ENSCAFG00000032609	RASD2	RASD family member 2 [Source:VGNC Symbol;Acc:VGNC:45365]	protein_coding	10:28626121-28632851	1	RASD2
ENSCAFG00000016605	EPOP	elongin BC and polycomb repressive complex 2 associated protein [Source:VGNC Symbol;Acc:VGNC:40423]	protein_coding	9:23549615-23550754	1	EPOP
ENSCAFG00000018877	NPR3	natriuretic peptide receptor 3 [Source:VGNC Symbol;Acc:VGNC:58320]	protein_coding	4:74799857-74862969	1	NPR3
ENSCAFG00000023831	GPRIN1	G protein regulated inducer of neurite outgrowth 1 [Source:VGNC Symbol;Acc:VGNC:51897]	protein_coding	4:36736818-36739442	1	GPRIN1
ENSCAFG00000018020	COL4A5	collagen type IV alpha 5 chain [Source:VGNC Symbol;Acc:VGNC:54129]	protein_coding	X:81982275-82247679	1	COL4A5
ENSCAFG00000018683	MTCL1	microtubule crosslinking factor 1 [Source:VGNC Symbol;Acc:VGNC:43460]	protein_coding	7:74840032-74967305	1	MTCL1
ENSCAFG00000012376	VASH2	vasohibin 2 [Source:VGNC Symbol;Acc:VGNC:48234]	protein_coding	7:11072215-11111166	1	VASH2
ENSCAFG00000005681	CAPN12	calpain-12 [Source:NCBI gene;Acc:484525]	protein_coding	1:114342521-114354482	1	CAPN12
ENSCAFG00000006371	NRG1	neuregulin 1 [Source:VGNC Symbol;Acc:VGNC:43967]	protein_coding	16:31706851-32771932	1	NRG1
ENSCAFG00000007891	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:VGNC Symbol;Acc:VGNC:49605]	protein_coding	25:24964908-24993297	1	HPGD
ENSCAFG00000049445			lncRNA	18:24851102-24871072	0	<none>
ENSCAFG00000009569	SPP1	secreted phosphoprotein 1 [Source:VGNC Symbol;Acc:VGNC:46756]	protein_coding	32:11353953-11362069	1	SPP1
ENSCAFG00000015590	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:VGNC Symbol;Acc:VGNC:39548]	protein_coding	20:45653620-45736931	1	CPAMD8
ENSCAFG00000013237	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3 [Source:VGNC Symbol;Acc:VGNC:46126]	protein_coding	3:55287460-55340571	1	SH3GL3
ENSCAFG00000009841	NKD1	NKD inhibitor of WNT signaling pathway 1 [Source:VGNC Symbol;Acc:VGNC:43828]	protein_coding	2:64722243-64807875	1	NKD1
ENSCAFG00000004398	QPCTL	glutaminyl-peptide cyclotransferase like [Source:VGNC Symbol;Acc:VGNC:45234]	protein_coding	1:109883356-109891056	1	QPCTL
ENSCAFG00000013020	STMN3	stathmin 3 [Source:VGNC Symbol;Acc:VGNC:46927]	protein_coding	24:47209784-47219472	1	STMN3
ENSCAFG00000007152	PTPRG	protein tyrosine phosphatase receptor type G [Source:VGNC Symbol;Acc:VGNC:45188]	protein_coding	20:28778386-29481145	1	PTPRG
ENSCAFG00000047196	NR2F1	nuclear receptor subfamily 2 group F member 1 [Source:NCBI gene;Acc:488908]	protein_coding	3:15707640-15716875	1	NR2F1
ENSCAFG00000005058	SCN1A	sodium voltage-gated channel alpha subunit 1 [Source:VGNC Symbol;Acc:VGNC:45915]	protein_coding	36:11108050-11183496	1	SCN1A
ENSCAFG00000005843	LTBP1	latent transforming growth factor beta binding protein 1 [Source:VGNC Symbol;Acc:VGNC:42856]	protein_coding	17:26130781-26521779	1	LTBP1
ENSCAFG00000005309	LBH	LBH regulator of WNT signaling pathway [Source:NCBI gene;Acc:611237]	protein_coding	17:23938772-24022140	1	LBH
ENSCAFG00000048363			protein_coding	10:26010607-26011965	0	<none>
ENSCAFG00000011415	MCUB	mitochondrial calcium uniporter dominant negative beta subunit [Source:VGNC Symbol;Acc:VGNC:43097]	protein_coding	32:29793556-29890033	1	MCUB
ENSCAFG00000018170	INSR	insulin receptor [Source:VGNC Symbol;Acc:VGNC:42043]	protein_coding	20:52021887-52136046	1	INSR
ENSCAFG00000009459	FMOD	fibromodulin [Source:VGNC Symbol;Acc:VGNC:40921]	protein_coding	38:103230-112154	1	FMOD
ENSCAFG00000005252	TMC6	transmembrane channel like 6 [Source:VGNC Symbol;Acc:VGNC:47425]	protein_coding	9:2805651-3016309	1	TMC6
ENSCAFG00000003833	SDC1	syndecan 1 [Source:VGNC Symbol;Acc:VGNC:45942]	protein_coding	17:15222094-15243890	1	SDC1
ENSCAFG00000018008	GAREM1	GRB2 associated regulator of MAPK1 subtype 1 [Source:VGNC Symbol;Acc:VGNC:53484]	protein_coding	7:57295070-57419252	1	GAREM1
ENSCAFG00000000364	WIF1	WNT inhibitory factor 1 [Source:VGNC Symbol;Acc:VGNC:48409]	protein_coding	10:7659491-7726859	1	WIF1
ENSCAFG00000011200	SGMS2	sphingomyelin synthase 2 [Source:VGNC Symbol;Acc:VGNC:46099]	protein_coding	32:28354116-28403734	1	SGMS2
ENSCAFG00000000297	AVIL	advillin [Source:VGNC Symbol;Acc:VGNC:38315]	protein_coding	10:1856162-1872303	1	AVIL
ENSCAFG00000011804	CIART	circadian associated repressor of transcription [Source:VGNC Symbol;Acc:VGNC:39265]	protein_coding	17:59525987-59529402	1	CIART
ENSCAFG00000000001	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:VGNC Symbol;Acc:VGNC:40374]	protein_coding	1:252103-322718	1	ENPP1
ENSCAFG00000046588	C1orf54	chromosome 17 C1orf54 homolog [Source:NCBI gene;Acc:100855873]	protein_coding	17:59516519-59523562	1	C1orf54
ENSCAFG00000038628			lncRNA	3:15717722-15719562	0	<none>
ENSCAFG00000020206	SCAI	suppressor of cancer cell invasion [Source:NCBI gene;Acc:612887]	protein_coding	9:57924530-58082053	1	SCAI
ENSCAFG00000017195	SLC16A2	solute carrier family 16 member 2 [Source:VGNC Symbol;Acc:VGNC:46241]	protein_coding	X:57845488-57857518	1	SLC16A2
ENSCAFG00000007361	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A [Source:VGNC Symbol;Acc:VGNC:40396]	protein_coding	3:507069-686751	1	EPB41L4A
ENSCAFG00000019589	BAIAP3	BAI1 associated protein 3 [Source:VGNC Symbol;Acc:VGNC:38374]	protein_coding	6:39427520-39435596	1	BAIAP3
ENSCAFG00000043083	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:NCBI gene;Acc:477452]	protein_coding	26:6284535-6293591	1	CDK2AP1
ENSCAFG00000011198	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:VGNC Symbol;Acc:VGNC:46865]	protein_coding	3:47588797-47655593	1	ST8SIA2
ENSCAFG00000029367	COL28A1	collagen type XXVIII alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:39470]	protein_coding	14:22993286-23153305	1	COL28A1
ENSCAFG00000004160	TNIP3	TNFAIP3 interacting protein 3 [Source:VGNC Symbol;Acc:VGNC:47678]	protein_coding	19:18853168-18960760	1	TNIP3
ENSCAFG00000010077	LSP1	lymphocyte specific protein 1 [Source:VGNC Symbol;Acc:VGNC:42849]	protein_coding	18:46087922-46127263	1	LSP1
ENSCAFG00000018177	XYLT1	xylosyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:48475]	protein_coding	6:26742853-27041666	1	XYLT1
ENSCAFG00000002403	CCDC180	coiled-coil domain containing 180 [Source:VGNC Symbol;Acc:VGNC:38818]	protein_coding	11:54675979-54740428	1	CCDC180
ENSCAFG00000005348	EHD3	EH domain containing 3 [Source:VGNC Symbol;Acc:VGNC:40247]	protein_coding	17:24828372-24853400	1	EHD3
ENSCAFG00000011193	PDGFA	platelet derived growth factor subunit A [Source:VGNC Symbol;Acc:VGNC:44368]	protein_coding	6:16270104-16292396	1	PDGFA
ENSCAFG00000020110	F3	coagulation factor III, tissue factor [Source:VGNC Symbol;Acc:VGNC:54021]	protein_coding	6:54708471-54720607	1	F3
ENSCAFG00000025131			protein_coding	33:17334047-17356918	0	<none>
ENSCAFG00000017007	ASPHD1	aspartate beta-hydroxylase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:38187]	protein_coding	6:17941574-17945217	1	ASPHD1
ENSCAFG00000017482	ITGA11	integrin subunit alpha 11 [Source:VGNC Symbol;Acc:VGNC:42122]	protein_coding	30:32323687-32405661	1	ITGA11
ENSCAFG00000004005	CCN6	cellular communication network factor 6 [Source:VGNC Symbol;Acc:VGNC:48416]	protein_coding	12:68478905-68498049	1	CCN6
ENSCAFG00000001998	CDK6	cyclin dependent kinase 6 [Source:VGNC Symbol;Acc:VGNC:54756]	protein_coding	14:18188429-18419869	1	CDK6
ENSCAFG00000019362	L1CAM	L1 cell adhesion molecule [Source:VGNC Symbol;Acc:VGNC:42556]	protein_coding	X:121708894-121733365	1	L1CAM
ENSCAFG00000047685		musashi RNA binding protein 2 [Source:NCBI gene;Acc:475148]	protein_coding	9:32017957-32404495	0	<none>
ENSCAFG00000005998	LHFPL6	LHFPL tetraspan subfamily member 6 [Source:VGNC Symbol;Acc:VGNC:59084]	protein_coding	25:1567335-1804535	1	LHFPL6
ENSCAFG00000016990	CA12	carbonic anhydrase 12 [Source:VGNC Symbol;Acc:VGNC:38607]	protein_coding	30:27905837-27957742	1	CA12
ENSCAFG00000001450	MEST	mesoderm specific transcript [Source:VGNC Symbol;Acc:VGNC:43165]	protein_coding	14:6436649-6449099	1	MEST
ENSCAFG00000023832			protein_coding	X:35087438-35087758	0	<none>
ENSCAFG00000003503	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:VGNC Symbol;Acc:VGNC:38090]	protein_coding	16:5649944-5673568	1	ARHGEF5
ENSCAFG00000000522	SNCAIP	synuclein alpha interacting protein [Source:VGNC Symbol;Acc:VGNC:46597]	protein_coding	11:12301719-12375560	1	SNCAIP
ENSCAFG00000002397	SHB	SH2 domain containing adaptor protein B [Source:VGNC Symbol;Acc:VGNC:46138]	protein_coding	11:54189843-54329325	1	SHB
ENSCAFG00000003406	MET	MET proto-oncogene, receptor tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:43166]	protein_coding	14:55598337-55724027	1	MET
ENSCAFG00000006631	EBF4	EBF family member 4 [Source:VGNC Symbol;Acc:VGNC:40177]	protein_coding	24:18470952-18528622	1	EBF4
ENSCAFG00000012077	KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:VGNC Symbol;Acc:VGNC:53616]	protein_coding	7:9252488-9631150	1	KCNH1
ENSCAFG00000018661	LIFR	LIF receptor subunit alpha [Source:VGNC Symbol;Acc:VGNC:42672]	protein_coding	4:70267514-70376127	1	LIFR
ENSCAFG00000043942		caspase recruitment domain-containing protein 8-like [Source:NCBI gene;Acc:484411]	protein_coding	1:108040101-108053200	0	<none>
ENSCAFG00000003935	AGBL4	ATP/GTP binding protein like 4 [Source:VGNC Symbol;Acc:VGNC:54556]	protein_coding	15:11056447-12435448	1	AGBL4
ENSCAFG00000018932	FHL1	four and a half LIM domains 1 [Source:VGNC Symbol;Acc:VGNC:40871]	protein_coding	X:106590988-106604029	1	FHL1
ENSCAFG00000010617	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:VGNC Symbol;Acc:VGNC:37784]	protein_coding	3:40132726-40168664	1	ALDH1A3
ENSCAFG00000010102	SEMA5A	semaphorin 5A [Source:VGNC Symbol;Acc:VGNC:45999]	protein_coding	34:4612142-5082280	1	SEMA5A
ENSCAFG00000005133	LTBP4	latent transforming growth factor beta binding protein 4 [Source:VGNC Symbol;Acc:VGNC:42859]	protein_coding	1:113124109-113150442	1	LTBP4
ENSCAFG00000007084	FAM110B	family with sequence similarity 110 member B [Source:VGNC Symbol;Acc:VGNC:40576]	protein_coding	29:9000588-9001715	1	FAM110B
ENSCAFG00000042412	ECHDC2	enoyl-CoA hydratase domain containing 2 [Source:NCBI gene;Acc:610733]	protein_coding	5:55972004-55991531	1	ECHDC2
ENSCAFG00000008607	SOX6	SRY-box transcription factor 6 [Source:VGNC Symbol;Acc:VGNC:46682]	protein_coding	21:38737247-39216549	1	SOX6
ENSCAFG00000016757	CPLX1	complexin 1 [Source:VGNC Symbol;Acc:VGNC:39555]	protein_coding	3:91638515-91656737	1	CPLX1
ENSCAFG00000009306	F2RL2	coagulation factor II thrombin receptor like 2 [Source:VGNC Symbol;Acc:VGNC:53169]	protein_coding	3:29967312-29972872	1	F2RL2
ENSCAFG00000013740	MAP2	microtubule associated protein 2 [Source:VGNC Symbol;Acc:VGNC:42959]	protein_coding	37:17466678-17607803	1	MAP2
ENSCAFG00000001974	KANK1	KN motif and ankyrin repeat domains 1 [Source:VGNC Symbol;Acc:VGNC:53727]	protein_coding	1:89480399-89618143	1	KANK1
ENSCAFG00000010833	NKD2	NKD inhibitor of WNT signaling pathway 2 [Source:VGNC Symbol;Acc:VGNC:54105]	protein_coding	34:11447888-11459509	1	NKD2
ENSCAFG00000011555	MFGE8	milk fat globule-EGF factor 8 protein [Source:VGNC Symbol;Acc:VGNC:53186]	protein_coding	3:52054831-52080240	1	MFGE8
ENSCAFG00000000065	GDF11	growth differentiation factor 11 [Source:VGNC Symbol;Acc:VGNC:41159]	protein_coding	10:145036-148373	1	GDF11
ENSCAFG00000012063	BMX	BMX non-receptor tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:38489]	protein_coding	X:11738365-11795436	1	BMX
ENSCAFG00000002731	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:VGNC Symbol;Acc:VGNC:45349]	protein_coding	14:35982444-36209214	1	RAPGEF5
ENSCAFG00000018245	FAM83G	family with sequence similarity 83 member G [Source:VGNC Symbol;Acc:VGNC:40704]	protein_coding	5:41055311-41084739	1	FAM83G
ENSCAFG00000012245	EDN3	endothelin 3 [Source:VGNC Symbol;Acc:VGNC:40201]	protein_coding	24:44033419-44054050	1	EDN3
ENSCAFG00000018322	LRRC8E	leucine rich repeat containing 8 VRAC subunit E [Source:VGNC Symbol;Acc:VGNC:42818]	protein_coding	20:52588973-52593214	1	LRRC8E
ENSCAFG00000000608	ARID1B	AT-rich interaction domain 1B [Source:VGNC Symbol;Acc:VGNC:53524]	protein_coding	1:46372767-46799104	1	ARID1B
ENSCAFG00000004821	GLI2	GLI family zinc finger 2 [Source:VGNC Symbol;Acc:VGNC:41257]	protein_coding	19:29130227-29383658	1	GLI2
ENSCAFG00000005841	ADAM32	ADAM metallopeptidase domain 32 [Source:VGNC Symbol;Acc:VGNC:37584]	protein_coding	16:26228415-26410583	1	ADAM32
ENSCAFG00000024758	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:VGNC Symbol;Acc:VGNC:37601]	protein_coding	31:22248092-22289802	1	ADAMTS5
ENSCAFG00000002308	VWDE	von Willebrand factor D and EGF domains [Source:VGNC Symbol;Acc:VGNC:48328]	protein_coding	14:27175631-27280776	1	VWDE
ENSCAFG00000015169	SELE	selectin E [Source:VGNC Symbol;Acc:VGNC:45980]	protein_coding	7:28888197-28898786	1	SELE
ENSCAFG00000002110	PPP1R9A	protein phosphatase 1 regulatory subunit 9A [Source:VGNC Symbol;Acc:VGNC:44902]	protein_coding	14:20251738-20557208	1	PPP1R9A
ENSCAFG00000030440	CCN3	cellular communication network factor 3 [Source:VGNC Symbol;Acc:VGNC:56074]	protein_coding	13:18507580-18514619	1	CCN3
ENSCAFG00000006424	GXYLT2	glucoside xylosyltransferase 2 [Source:VGNC Symbol;Acc:VGNC:41571]	protein_coding	20:19188179-19253291	1	GXYLT2
ENSCAFG00000019985	COL11A1	collagen type XI alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:39456]	protein_coding	6:47425307-47621012	1	COL11A1
ENSCAFG00000012440	SLC16A9	solute carrier family 16 member 9 [Source:VGNC Symbol;Acc:VGNC:46247]	protein_coding	4:11866491-11913412	1	SLC16A9
ENSCAFG00000011907	PCBP3	poly(rC) binding protein 3 [Source:VGNC Symbol;Acc:VGNC:53035]	protein_coding	31:39025731-39275239	1	PCBP3
ENSCAFG00000012752	FAM53B	family with sequence similarity 53 member B [Source:VGNC Symbol;Acc:VGNC:40688]	protein_coding	28:33933605-34081090	1	FAM53B
ENSCAFG00000018844	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:VGNC Symbol;Acc:VGNC:50867]	protein_coding	4:73887924-74001984	1	ADAMTS12
ENSCAFG00000016331	TMEM51	transmembrane protein 51 [Source:VGNC Symbol;Acc:VGNC:47586]	protein_coding	2:82252110-82307222	1	TMEM51
ENSCAFG00000041386			lncRNA	5:67249623-67250636	0	<none>
ENSCAFG00000006237	ACP3	acid phosphatase 3 [Source:VGNC Symbol;Acc:VGNC:54915]	protein_coding	23:29294843-29343499	1	ACPP
ENSCAFG00000010709	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:VGNC Symbol;Acc:VGNC:37595]	protein_coding	3:40613759-40939615	1	ADAMTS17
ENSCAFG00000011275	MARK1	microtubule affinity regulating kinase 1 [Source:VGNC Symbol;Acc:VGNC:49921]	protein_coding	38:15273004-15340448	1	MARK1
ENSCAFG00000006164	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:VGNC Symbol;Acc:VGNC:50334]	protein_coding	17:30272749-30278554	1	CYP1B1
ENSCAFG00000006357	CNTN3	contactin 3 [Source:VGNC Symbol;Acc:VGNC:39434]	protein_coding	20:17702492-18030345	1	CNTN3
ENSCAFG00000009975	SLC2A13	solute carrier family 2 member 13 [Source:VGNC Symbol;Acc:VGNC:46340]	protein_coding	27:13536054-13905483	1	SLC2A13
ENSCAFG00000002248	ARL9	ADP ribosylation factor like GTPase 9 [Source:VGNC Symbol;Acc:VGNC:56073]	protein_coding	13:48719798-48738294	1	ARL9
ENSCAFG00000011716	UBASH3B	ubiquitin associated and SH3 domain containing B [Source:VGNC Symbol;Acc:VGNC:48048]	protein_coding	5:11500669-11614675	1	UBASH3B
ENSCAFG00000019617	ABCA7	ATP binding cassette subfamily A member 7 [Source:VGNC Symbol;Acc:VGNC:37429]	protein_coding	20:57667706-57677342	1	ABCA7
ENSCAFG00000032289	BMP6	bone morphogenetic protein 6 [Source:VGNC Symbol;Acc:VGNC:59134]	protein_coding	35:7804231-7831845	1	BMP6
ENSCAFG00000043167			protein_coding	7:1065100-1070649	0	<none>
ENSCAFG00000013495	OLR1	oxidized low density lipoprotein receptor 1 [Source:VGNC Symbol;Acc:VGNC:44120]	protein_coding	27:35828029-35838754	1	OLR1
ENSCAFG00000023594			protein_coding	15:19732336-19746877	1	CSRP2
ENSCAFG00000032722	PRIMA1	proline rich membrane anchor 1 [Source:VGNC Symbol;Acc:VGNC:51672]	protein_coding	8:62843300-62903444	1	PRIMA1
ENSCAFG00000000795	PDE10A	phosphodiesterase 10A [Source:VGNC Symbol;Acc:VGNC:44345]	protein_coding	1:53462979-53801966	1	PDE10A
ENSCAFG00000001793	BTBD11	BTB domain containing 11 [Source:VGNC Symbol;Acc:VGNC:38547]	protein_coding	10:31169868-31478420	1	BTBD11
ENSCAFG00000031521	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2 [Source:VGNC Symbol;Acc:VGNC:58298]	protein_coding	25:51004465-51038700	1	CROCC2
ENSCAFG00000006505	SIGIRR	single Ig and TIR domain containing [Source:VGNC Symbol;Acc:VGNC:46167]	protein_coding	18:25548637-25553923	1	SIGIRR
ENSCAFG00000010599	HYAL1	hyaluronidase 1 [Source:VGNC Symbol;Acc:VGNC:54314]	protein_coding	20:39038514-39040368	1	HYAL1
ENSCAFG00000017458	EML5	EMAP like 5 [Source:VGNC Symbol;Acc:VGNC:40350]	protein_coding	8:59853379-60033906	1	EML5
ENSCAFG00000005112	CYGB	cytoglobin [Source:VGNC Symbol;Acc:VGNC:49090]	protein_coding	9:4184959-4200164	1	CYGB
ENSCAFG00000048655	U4	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	snRNA	4:35581948-35582075	0	<none>
ENSCAFG00000029991			lncRNA	28:27963396-28003176	0	<none>
ENSCAFG00000000020	TSHZ1	teashirt zinc finger homeobox 1 [Source:VGNC Symbol;Acc:VGNC:47903]	protein_coding	1:4226210-4246762	1	TSHZ1
ENSCAFG00000001618	CCND3	cyclin D3 [Source:VGNC Symbol;Acc:VGNC:54284]	protein_coding	12:10594712-10600891	1	CCND3
ENSCAFG00000013482	CADM1	cell adhesion molecule 1 [Source:VGNC Symbol;Acc:VGNC:38655]	protein_coding	5:17864453-18194694	1	CADM1
ENSCAFG00000045952	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:NCBI gene;Acc:100684628]	protein_coding	11:56812804-56847689	1	NR4A3
ENSCAFG00000044317			protein_coding	31:38954947-38957320	1	COL18A1
ENSCAFG00000000366	SASH1	SAM and SH3 domain containing 1 [Source:VGNC Symbol;Acc:VGNC:45871]	protein_coding	1:39146020-39476914	1	SASH1
ENSCAFG00000005610	KIF5C	kinesin family member 5C [Source:VGNC Symbol;Acc:VGNC:42409]	protein_coding	19:50535456-50668738	1	KIF5C
ENSCAFG00000030269	MFAP4	microfibril associated protein 4 [Source:VGNC Symbol;Acc:VGNC:43190]	protein_coding	5:40828282-40831495	1	MFAP4
ENSCAFG00000010877	ABCA5	ATP binding cassette subfamily A member 9 [Source:NCBI gene;Acc:611016]	protein_coding	9:15420835-15783045	1	ABCA5
ENSCAFG00000013049	EGR2	early growth response 2 [Source:VGNC Symbol;Acc:VGNC:51893]	protein_coding	4:14706600-14709497	1	EGR2
ENSCAFG00000012414	FAM13C	family with sequence similarity 13 member C [Source:VGNC Symbol;Acc:VGNC:40598]	protein_coding	4:11452422-11608088	1	FAM13C
ENSCAFG00000010676	BANK1	B cell scaffold protein with ankyrin repeats 1 [Source:VGNC Symbol;Acc:VGNC:38377]	protein_coding	32:23323122-23602383	1	BANK1
ENSCAFG00000018508	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1 [Source:VGNC Symbol;Acc:VGNC:41620]	protein_coding	4:64775577-65160444	1	HCN1
ENSCAFG00000046649			lncRNA	3:30227784-30230836	0	<none>
ENSCAFG00000002023	RCAN2	regulator of calcineurin 2 [Source:VGNC Symbol;Acc:VGNC:45437]	protein_coding	12:14428406-14687241	1	RCAN2
ENSCAFG00000015617	TMEM198	transmembrane protein 198 [Source:NCBI gene;Acc:610690]	protein_coding	37:26052168-26058810	1	TMEM198
ENSCAFG00000031753	IGKC	immunoglobulin kappa constant [Source:HGNC Symbol;Acc:HGNC:5716]	protein_coding	17:37702886-37703458	1	IGKC
ENSCAFG00000002519	ITGB8	integrin subunit beta 8 [Source:VGNC Symbol;Acc:VGNC:42143]	protein_coding	14:34349232-34444235	1	ITGB8
ENSCAFG00000005061	LMO7	LIM domain 7 [Source:VGNC Symbol;Acc:VGNC:42725]	protein_coding	22:29415337-29618667	1	LMO7
ENSCAFG00000002487	GABBR2	gamma-aminobutyric acid type B receptor subunit 2 [Source:VGNC Symbol;Acc:VGNC:41049]	protein_coding	11:55470197-55817945	1	GABBR2
ENSCAFG00000013762	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:VGNC Symbol;Acc:VGNC:45152]	protein_coding	7:19668082-19674903	1	PTGS2
ENSCAFG00000014698	CRLF1	cytokine receptor like factor 1 [Source:VGNC Symbol;Acc:VGNC:39620]	protein_coding	20:44466810-44472637	1	CRLF1
ENSCAFG00000017958	COL5A3	collagen type V alpha 3 chain [Source:VGNC Symbol;Acc:VGNC:39479]	protein_coding	20:51037621-51074993	1	COL5A3
ENSCAFG00000023756	GNAS	GNAS complex locus [Source:VGNC Symbol;Acc:VGNC:54650]	protein_coding	24:43643405-43658657	1	GNAS
ENSCAFG00000001305	FBP1	fructose-bisphosphatase 1 [Source:VGNC Symbol;Acc:VGNC:40757]	protein_coding	1:72099881-72125224	1	FBP1
ENSCAFG00000016769	NES	nestin [Source:VGNC Symbol;Acc:VGNC:53625]	protein_coding	7:41295989-41303736	1	NES
ENSCAFG00000005749	HBEGF	heparin binding EGF like growth factor [Source:VGNC Symbol;Acc:VGNC:41609]	protein_coding	2:35551250-35563043	1	HBEGF
ENSCAFG00000012468	OSM	oncostatin M [Source:VGNC Symbol;Acc:VGNC:44166]	protein_coding	26:23421787-23426036	1	OSM
ENSCAFG00000019956	WFDC1	WAP four-disulfide core domain 1 [Source:VGNC Symbol;Acc:VGNC:48404]	protein_coding	5:68067885-68096067	1	WFDC1
ENSCAFG00000013217	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:VGNC Symbol;Acc:VGNC:41450]	protein_coding	27:33441527-33460377	1	GPRC5A
ENSCAFG00000023202		armadillo repeat-containing protein 4-like [Source:NCBI gene;Acc:607539]	protein_coding	2:4819163-5004180	0	<none>
ENSCAFG00000031706		fatty acid binding protein 5 [Source:NCBI gene;Acc:477923]	protein_coding	29:28488474-28492697	0	<none>
ENSCAFG00000010387	FAP	fibroblast activation protein alpha [Source:VGNC Symbol;Acc:VGNC:40727]	protein_coding	36:7575161-7647226	1	FAP
