gene_id	symbol	description	locus	human_gene_id	human_gene_name
LOC111095184	LOC111095184	uncharacterized LOC111095184	3:37909320-37913994	<none>	<none>
DAB1	DAB1	disabled homolog 1	5:51840806-52867875	1600	DAB1
LOC119876010	LOC119876010	uncharacterized LOC119876010	1:113249335-113257124	<none>	<none>
LOC119877760	LOC119877760	"uncharacterized LOC119877760, transcript variant X2"	31:357111-382609	<none>	<none>
TRPM8	TRPM8	transient receptor potential cation channel subfamily M member 8	25:45538477-45630602	79054	TRPM8
MALRD1	MALRD1	MAM and LDL-receptor class A domain-containing protein 1	2:10996318-11750406	340895	MALRD1
CYP7A1	CYP7A1	cytochrome P450 7A1	29:9773555-9801001	1581	CYP7A1
H2AC16	H2AC16	histone H2A type 1-H-like	35:26526681-26527135	<none>	<none>
LOC111095371	LOC111095371	uncharacterized LOC111095371	1:28154693-28162411	<none>	<none>
FABP7	FABP7	"fatty acid-binding protein, brain"	1:62659387-62663563	2173	FABP7
LOC119864204	LOC119864204	"uncharacterized LOC119864204, transcript variant X2"	18:26478157-26546068	<none>	<none>
HHATL	HHATL	protein-cysteine N-palmitoyltransferase HHAT-like protein	23:12058522-12077009	57467	HHATL
LOC119872625	LOC119872625	"uncharacterized LOC119872625, transcript variant X1"	7:79262711-79267389	<none>	<none>
LOC119865215	LOC119865215	"uncharacterized LOC119865215, transcript variant X13"	22:46751653-46763431	<none>	<none>
LOC119875760	LOC119875760	"uncharacterized LOC119875760, transcript variant X4"	2:17097144-17100522	<none>	<none>
LOC111094521	LOC111094521	"uncharacterized LOC111094521, transcript variant X3"	38:14495207-14801819	<none>	<none>
WDR72	WDR72	WD repeat-containing protein 72	30:19410651-19631543	256764	WDR72
MYL4	MYL4	myosin light chain 4	9:17587089-17614390	4635	MYL4
LOC119870891	LOC119870891	uncharacterized LOC119870891	1:102189156-102190419	<none>	<none>
LOC111095155	LOC111095155	"uncharacterized LOC111095155, transcript variant X2"	1:19379070-19390720	<none>	<none>
LOC119874081	LOC119874081	small nucleolar RNA SNORD63	11:26178969-26179034	<none>	<none>
LOC100686518	LOC100686518	cationic amino acid transporter 3-like	27:20160681-20185744	<none>	<none>
LOC119865964	LOC119865964	uncharacterized LOC119865964	25:43721746-43732868	<none>	<none>
LOC111094510	LOC111094510	"uncharacterized LOC111094510, transcript variant X2"	38:2496539-2512045	<none>	<none>
PROX1	PROX1	prospero homeobox protein 1	7:11858013-11911782	5629	PROX1
LOC119872598	LOC119872598	uncharacterized LOC119872598	7:64137969-64156986	<none>	<none>
SRRM3	SRRM3	serine/arginine repetitive matrix protein 3	6:7363019-7397715	222183	SRRM3
IL6	IL6	interleukin 6	14:36553276-36557530	3569	IL6
GPR158	GPR158	probable G-protein coupled receptor 158	2:5782879-6192914	57512	GPR158
SLC18A2	SLC18A2	synaptic vesicular amine transporter	28:28030658-28145734	6571	SLC18A2
BRSK2	BRSK2	serine/threonine-protein kinase BRSK2	18:46084435-46144294	9024	BRSK2
LOC119877643	LOC119877643	uncharacterized LOC119877643	27:15275701-15278840	<none>	<none>
LOC111092015	LOC111092015	"uncharacterized LOC111092015, transcript variant X1"	23:51141033-51146938	<none>	<none>
LOC119876552	LOC119876552	uncharacterized gene	8:75242451-75243074	<none>	<none>
LOC102157222	LOC102157222	"uncharacterized LOC102157222, transcript variant X12"	8:62093245-62103613	<none>	<none>
CLDN4	CLDN4	claudin-4	6:6409111-6410786	1364	CLDN4
ARHGEF5	ARHGEF5	rho guanine nucleotide exchange factor 5	16:5371318-5395833	7984	ARHGEF5
HPSE2	HPSE2	inactive heparanase-2	28:11770213-12402804	60495	HPSE2
LOC119870904	LOC119870904	"uncharacterized LOC119870904, transcript variant X2"	1:103922606-103933005	<none>	<none>
LOC119864266	LOC119864266	"uncharacterized LOC119864266, transcript variant X2"	13:3106802-3119807	<none>	<none>
LOC102152384	LOC102152384	"uncharacterized LOC102152384, transcript variant X4"	7:29428744-29491404	<none>	<none>
LOC119864892	LOC119864892	"uncharacterized LOC119864892, transcript variant X3"	21:29146902-29149626	<none>	<none>
LOC111098537	LOC111098537	uncharacterized gene	1:111418049-111419667	<none>	<none>
TXNDC2	TXNDC2	thioredoxin domain-containing protein 2	7:75907762-75909799	84203	TXNDC2
LOC102151182	LOC102151182	"uncharacterized LOC102151182, transcript variant X6"	3:15781219-15925060	<none>	<none>
ENAM	ENAM	enamelin	13:60993798-61007450	10117	ENAM
RGS4	RGS4	regulator of G-protein signaling 4	38:20473021-20480491	5999	RGS4
LOC119870957	LOC119870957	"uncharacterized LOC119870957, transcript variant X1"	1:109035162-109041115	<none>	<none>
SLC8A2	SLC8A2	sodium/calcium exchanger 2	1:109251103-109281451	6543	SLC8A2
LOC119871487	LOC119871487	uncharacterized LOC119871487	4:28810932-28823751	<none>	<none>
LOC119867346	LOC119867346	"uncharacterized LOC119867346, transcript variant X1"	14:40456586-40460493	<none>	<none>
LOC610632	LOC610632	dynactin-associated protein	1:21007570-21013735	284254	DYNAP
LOC119865608	LOC119865608	uncharacterized gene	24:2460766-2461370	<none>	<none>
LOC111096199	LOC111096199	uncharacterized LOC111096199	6:8069889-8082603	<none>	<none>
LOC119864621	LOC119864621	uncharacterized LOC119864621	20:2966405-2968382	<none>	<none>
SIGLEC15	SIGLEC15	sialic acid-binding Ig-like lectin 15	7:45313669-45327587	284266	SIGLEC15
LOC119869600	LOC119869600	uncharacterized LOC119869600	16:41233240-41246053	<none>	<none>
LOC102152029	LOC102152029	"uncharacterized LOC102152029, transcript variant X2"	30:37712321-37725427	<none>	<none>
LOC119865357	LOC119865357	uncharacterized LOC119865357	23:13788421-13800883	<none>	<none>
LOC119870567	LOC119870567	small nucleolar RNA SNORA61	2:71309838-71309970	<none>	<none>
LOC111094000	LOC111094000	"uncharacterized LOC111094000, transcript variant X3"	35:4423095-4432370	<none>	<none>
LOC448801	LOC448801	mastin	6:39950850-39952812	<none>	<none>
GPR85	GPR85	probable G-protein coupled receptor 85	14:52693708-52698411	54329	GPR85
LOC119869051	LOC119869051	uncharacterized gene	8:74585187-74586102	<none>	<none>
RAMP1	RAMP1	receptor activity-modifying protein 1	25:48710077-48748033	10267	RAMP1
AREG	AREG	amphiregulin	13:63996005-64007006	374	AREG
LOC102155945	LOC102155945	uncharacterized LOC102155945	4:77031943-77049585	<none>	<none>
TTLL9	TTLL9	probable tubulin polyglutamylase TTLL9	24:21833188-21880727	164395	TTLL9
NOS3	NOS3	nitric oxide synthase 3	16:15781028-15799144	4846	NOS3
LOC119876142	LOC119876142	"uncharacterized LOC119876142, transcript variant X2"	3:58810261-58813146	<none>	<none>
ACOD1	ACOD1	cis-aconitate decarboxylase	22:30634536-30644605	730249	ACOD1
LOC102155357	LOC102155357	uncharacterized LOC102155357	12:41483847-41515837	<none>	<none>
SLC39A2	SLC39A2	zinc transporter ZIP2	15:18225334-18228951	29986	SLC39A2
LOC119865549	LOC119865549	"uncharacterized LOC119865549, transcript variant X2"	24:29136357-29182495	<none>	<none>
LOC102153531	LOC102153531	uncharacterized gene	15:8753883-8758410	<none>	<none>
CLDN5	CLDN5	claudin-5	26:29862380-29864535	7122	CLDN5
LOC119871211	LOC119871211	uncharacterized protein LOC119871211	3:54385954-54399041	<none>	<none>
LOC102157251	LOC102157251	uncharacterized LOC102157251	9:55327249-55335446	<none>	<none>
LOC119867312	LOC119867312	uncharacterized LOC119867312	33:5994267-6001519	<none>	<none>
CFAP45	CFAP45	cilia- and flagella-associated protein 45	38:23079342-23103004	25790	CFAP45
LOC106558621	LOC106558621	protein shisa-like-1	3:53794686-53799777	<none>	<none>
LOC119873479	LOC119873479	small nucleolar RNA SNORD42	9:42887465-42887531	<none>	<none>
CCDC187	CCDC187	coiled-coil domain-containing protein 187	9:49164614-49201838	399693	CCDC187
LOC612647	LOC612647	uncharacterized gene	4:77012818-77210779	<none>	<none>
LOC119877156	LOC119877156	uncharacterized LOC119877156	17:21161894-21172100	<none>	<none>
DBX1	DBX1	homeobox protein DBX1	21:42888831-42892779	120237	DBX1
LOC111092654	LOC111092654	uncharacterized LOC111092654	26:27725869-27727644	<none>	<none>
QRFP	QRFP	orexigenic neuropeptide QRFP	9:53202385-53205368	347148	QRFP
SH3RF2	SH3RF2	E3 ubiquitin-protein ligase SH3RF2	2:39552296-39686259	153769	SH3RF2
DRD1	DRD1	D(1A) dopamine receptor	4:38438479-38443142	1812	DRD1
LOC111094843	LOC111094843	uncharacterized LOC111094843	X:2409632-2565005	<none>	<none>
LOC111093197	LOC111093197	uncharacterized LOC111093197	29:926002-929680	<none>	<none>
ALX1	ALX1	ALX homeobox protein 1	15:27092976-27113925	8092	ALX1
CFAP206	CFAP206	cilia- and flagella-associated protein 206	12:47113364-47176235	154313	CFAP206
LOC111095501	LOC111095501	uncharacterized LOC111095501	4:26641342-26802821	<none>	<none>
LOC119874322	LOC119874322	U6 spliceosomal RNA	12:4991661-4991763	<none>	<none>
LOC119865685	LOC119865685	"uncharacterized LOC119865685, transcript variant X10"	24:36979726-36987338	<none>	<none>
C9H9orf50	C9H9orf50	uncharacterized protein C9orf50 homolog	9:54263375-54270772	375759	C9orf50
LOC102151763	LOC102151763	"uncharacterized LOC102151763, transcript variant X1"	16:53338372-53347763	<none>	<none>
LOC106559881	LOC106559881	uncharacterized LOC106559881	17:9321035-9328347	<none>	<none>
LOC481674	LOC481674	allergen Fel d 4-like	11:67789030-67793527	<none>	<none>
NTNG2	NTNG2	netrin-G2	9:52078430-52147219	84628	NTNG2
LOC119866594	LOC119866594	"uncharacterized LOC119866594, transcript variant X1"	28:24963444-24972042	<none>	<none>
LOC119870442	LOC119870442	uncharacterized LOC119870442	2:77135110-77138078	<none>	<none>
RHBG	RHBG	Rh family B glycoprotein	7:41521618-41531920	57127	RHBG
GABRA1	GABRA1	gamma-aminobutyric acid receptor subunit alpha-1	4:49902613-49960850	2554	GABRA1
SNORC	SNORC	protein SNORC	25:44635988-44657916	389084	SNORC
LOC111098816	LOC111098816	"uncharacterized LOC111098816, transcript variant X3"	14:43371188-43403136	<none>	<none>
IBSP	IBSP	bone sialoprotein 2	32:28790260-28803929	3381	IBSP
LOC119877059	LOC119877059	uncharacterized gene	16:14572934-14577339	<none>	<none>
LOC111095478	LOC111095478	uncharacterized LOC111095478	4:23650774-23651891	<none>	<none>
LOC119872907	LOC119872907	"uncharacterized LOC119872907, transcript variant X2"	8:50095830-50109155	<none>	<none>
LOC111096340	LOC111096340	uncharacterized protein LOC111096340	1:71504520-71534564	<none>	<none>
TSPAN10	TSPAN10	tetraspanin-10	9:1354551-1356871	83882	TSPAN10
C15H4orf51	C15H4orf51	uncharacterized protein C4orf51 homolog	15:44548031-44648475	646603	C4orf51
LOC111096334	LOC111096334	uncharacterized LOC111096334	6:40253834-40258975	<none>	<none>
LOC119865860	LOC119865860	uncharacterized LOC119865860	25:45686010-45686781	<none>	<none>
LOC478277	LOC478277	"creatine kinase U-type, mitochondrial"	30:10725817-10731823	<none>	<none>
LOC111095987	LOC111095987	uncharacterized LOC111095987	5:62978739-62993841	<none>	<none>
MIR8868	MIR8868	microRNA mir-8868	5:1040243-1040387	<none>	<none>
LOC106557634	LOC106557634	uncharacterized gene	23:39453384-39454663	<none>	<none>
QRFPR	QRFPR	pyroglutamylated RF-amide peptide receptor	19:19553129-19603173	84109	QRFPR
LOC119870472	LOC119870472	"uncharacterized LOC119870472, transcript variant X2"	2:80223644-80234475	<none>	<none>
CACNA1D	CACNA1D	voltage-dependent L-type calcium channel subunit alpha-1D	20:36481867-36779827	776	CACNA1D
LOC111098421	LOC111098421	"uncharacterized LOC111098421, transcript variant X4"	1:122526027-122532237	<none>	<none>
LOC111093644	LOC111093644	"uncharacterized LOC111093644, transcript variant X3"	32:32904450-32928603	<none>	<none>
DTX1	DTX1	E3 ubiquitin-protein ligase DTX1	26:10794682-10830404	1840	DTX1
DIRAS1	DIRAS1	GTP-binding protein Di-Ras1	20:56940863-56948888	148252	DIRAS1
PLPPR5	PLPPR5	phospholipid phosphatase-related protein type 5	6:51265386-51389370	163404	PLPPR5
LOC119864699	LOC119864699	"uncharacterized LOC119864699, transcript variant X2"	20:42268409-42272296	<none>	<none>
LOC111091118	LOC111091118	uncharacterized protein LOC111091118	2:12171314-12191070	<none>	<none>
ARPP21	ARPP21	cAMP-regulated phosphoprotein 21	23:5956227-6111899	10777	ARPP21
CACHD1	CACHD1	VWFA and cache domain-containing protein 1	5:45897027-46099100	57685	CACHD1
FBXO44	FBXO44	F-box only protein 44	2:84032774-84038260	<none>	<none>
LOC119864600	LOC119864600	uncharacterized LOC119864600	20:57719031-57721849	<none>	<none>
LOC119870980	LOC119870980	"uncharacterized LOC119870980, transcript variant X4"	3:2504963-2516728	<none>	<none>
ISL2	ISL2	insulin gene enhancer protein ISL-2	30:40252498-40258880	64843	ISL2
UPK3B	UPK3B	uroplakin-3b	6:7561763-7566387	105375355	UPK3B
LOC119872315	LOC119872315	uncharacterized LOC119872315	6:679789-680159	<none>	<none>
LOC102154185	LOC102154185	ubiquitin-associated protein 1-like	1:100538227-100541403	<none>	<none>
CLCA2	CLCA2	calcium-activated chloride channel regulator 2	6:62207245-62246736	9635	CLCA2
LOC102153933	LOC102153933	uncharacterized LOC102153933	32:16819361-16875286	<none>	<none>
LOC119872675	LOC119872675	uncharacterized LOC119872675	7:28859707-28878704	<none>	<none>
C28H10orf95	C28H10orf95	uncharacterized protein C10orf95 homolog	28:15139122-15140214	79946	C10orf95
LOC119874203	LOC119874203	uncharacterized LOC119874203	12:40626611-40660950	<none>	<none>
FAM43B	FAM43B	protein FAM43B	2:77761686-77763152	163933	FAM43B
LOC119869824	LOC119869824	uncharacterized LOC119869824	17:17673864-17714792	<none>	<none>
LOC119877881	LOC119877881	histone H3.1	35:26540506-26541630	<none>	<none>
TDRD5	TDRD5	tudor domain-containing protein 5	7:20148162-20234920	163589	TDRD5
EPHA5	EPHA5	ephrin type-A receptor 5	13:56885964-57231303	2044	EPHA5
LOC119865099	LOC119865099	small nucleolar RNA SNORD15	21:23297179-23297323	<none>	<none>
TIE1	TIE1	tyrosine-protein kinase receptor Tie-1	15:16941001-16959771	7075	TIE1
H1-6	H1-6	histone H1t	35:25459273-25480911	3010	H1-6
PHF21B	PHF21B	PHD finger protein 21B	10:21936652-22019622	112885	PHF21B
KCNV1	KCNV1	potassium voltage-gated channel subfamily V member 1	13:10669843-10678992	27012	KCNV1
LOC102151423	LOC102151423	"uncharacterized LOC102151423, transcript variant X17"	33:24717099-24746488	<none>	<none>
LOC111097287	LOC111097287	uncharacterized LOC111097287	9:4669715-4675320	<none>	<none>
LOC102156634	LOC102156634	uncharacterized LOC102156634	29:27863963-27877806	<none>	<none>
LOC111093037	LOC111093037	uncharacterized LOC111093037	28:8819970-8842923	<none>	<none>
LOC111097930	LOC111097930	uncharacterized LOC111097930	11:22279887-22289589	<none>	<none>
DYNLT2	DYNLT2	dynein light chain Tctex-type protein 2	12:72449228-72462969	6991	DYNLT2
TMEM163	TMEM163	transmembrane protein 163	19:38812101-39036892	81615	TMEM163
LOC100687497	LOC100687497	uncharacterized gene	17:38156712-38169801	<none>	<none>
LOC111092159	LOC111092159	"uncharacterized LOC111092159, transcript variant X3"	24:47000250-47004700	<none>	<none>
LOC102151445	LOC102151445	"uncharacterized LOC102151445, transcript variant X4"	8:39800522-39948336	<none>	<none>
LOC111093301	LOC111093301	"uncharacterized LOC111093301, transcript variant X2"	30:10947082-10972078	<none>	<none>
LOC111091087	LOC111091087	"uncharacterized LOC111091087, transcript variant X3"	19:3758408-3764311	<none>	<none>
LOC119867688	LOC119867688	histone H3.1	35:25403277-25404858	<none>	<none>
LRRTM2	LRRTM2	leucine-rich repeat transmembrane neuronal protein 2	11:26442410-26446727	26045	LRRTM2
LOC102155858	LOC102155858	"uncharacterized LOC102155858, transcript variant X4"	6:19714638-19745262	<none>	<none>
NEURL1	NEURL1	E3 ubiquitin-protein ligase NEURL1	28:16048129-16127416	9148	NEURL1
CACNA1S	CACNA1S	voltage-dependent L-type calcium channel subunit alpha-1S	7:1871249-1934698	779	CACNA1S
LOC119876197	LOC119876197	uncharacterized LOC119876197	4:36950318-36956289	<none>	<none>
LOC111094796	LOC111094796	"uncharacterized LOC111094796, transcript variant X3"	1:15262088-15316595	<none>	<none>
EMX2	EMX2	homeobox protein EMX2	28:28303055-28310050	2018	EMX2
LOC111091346	LOC111091346	"uncharacterized LOC111091346, transcript variant X4"	20:43504008-43519473	<none>	<none>
VWA5B2	VWA5B2	von Willebrand factor A domain-containing protein 5B2	34:17294854-17306415	90113	VWA5B2
LOC102152378	LOC102152378	"uncharacterized LOC102152378, transcript variant X2"	4:33372890-33411161	<none>	<none>
LOC102154437	LOC102154437	uncharacterized protein LOC102154437	17:52314715-52331735	<none>	<none>
LOC119871897	LOC119871897	uncharacterized LOC119871897	5:57881752-57907355	<none>	<none>
LOC119872700	LOC119872700	uncharacterized LOC119872700	7:63686857-63714521	<none>	<none>
LOC119870979	LOC119870979	uncharacterized LOC119870979	3:2691759-2719024	<none>	<none>
LOC111092145	LOC111092145	uncharacterized LOC111092145	24:37149502-37156213	<none>	<none>
INSC	INSC	protein inscuteable homolog	21:38551635-38670419	387755	INSC
LOC111090434	LOC111090434	uncharacterized gene	17:37657263-37658553	<none>	<none>
LOC111094212	LOC111094212	uncharacterized LOC111094212	36:17795208-17821759	<none>	<none>
LOC119877107	LOC119877107	uncharacterized LOC119877107	16:53336194-53349476	<none>	<none>
MTARC1	MTARC1	mitochondrial amidoxime-reducing component 1	38:16151276-16181816	<none>	<none>
DYRK4	DYRK4	dual specificity tyrosine-phosphorylation-regulated kinase 4	27:5790805-5853828	8798	DYRK4
RGSL1	RGSL1	regulator of G-protein signaling protein-like	7:15617114-15862790	353299	RGSL1
LOC102152574	LOC102152574	"uncharacterized LOC102152574, transcript variant X16"	11:6565291-6698979	<none>	<none>
LOC119874668	LOC119874668	"uncharacterized LOC119874668, transcript variant X2"	16:48324954-48334682	<none>	<none>
LOC612553	LOC612553	membrane-spanning 4-domains subfamily A member 6D	21:51512588-51522799	<none>	<none>
LOC111097591	LOC111097591	uncharacterized gene	10:11081972-11091416	<none>	<none>
LOC111097274	LOC111097274	uncharacterized LOC111097274	9:2786438-2799217	<none>	<none>
LOC119866392	LOC119866392	uncharacterized LOC119866392	27:37375831-37431843	<none>	<none>
LOC111094031	LOC111094031	uncharacterized LOC111094031	35:4817753-4828106	<none>	<none>
LOC111095666	LOC111095666	"uncharacterized LOC111095666, transcript variant X63"	4:87452913-87491381	<none>	<none>
LOC119869553	LOC119869553	"uncharacterized LOC119869553, transcript variant X5"	16:16512216-16519417	<none>	<none>
LOC119871500	LOC119871500	uncharacterized LOC119871500	4:36488807-36524649	<none>	<none>
EPN3	EPN3	epsin-3	9:26405091-26414325	55040	EPN3
LOC102156217	LOC102156217	"uncharacterized LOC102156217, transcript variant X4"	28:28287482-28298981	<none>	<none>
LOC119867775	LOC119867775	"uncharacterized LOC119867775, transcript variant X2"	1:113768906-113776684	<none>	<none>
SOX7	SOX7	transcription factor SOX-7	25:27372604-27390369	83595	SOX7
GPR176	GPR176	G-protein coupled receptor 176	30:7275692-7406107	11245	GPR176
LOC111091604	LOC111091604	uncharacterized LOC111091604	21:5654936-5672958	<none>	<none>
MMP20	MMP20	matrix metalloproteinase-20	5:29247616-29295291	9313	MMP20
LOC100683578	LOC100683578	uncharacterized gene	25:1158672-1160244	<none>	<none>
LOC490356	LOC490356	uncharacterized protein LOC490356	7:29911837-30102031	<none>	<none>
AVPR1A	AVPR1A	arginine vasopressin receptor 1A	10:6633959-6637404	552	AVPR1A
LOC119866562	LOC119866562	"uncharacterized LOC119866562, transcript variant X1"	28:5883127-5937925	<none>	<none>
VWA3A	VWA3A	von Willebrand factor A domain-containing protein 3A	6:23705576-23765666	146177	VWA3A
CALCR	CALCR	calcitonin receptor	14:18875566-19033608	799	CALCR
LANCL3	LANCL3	lanC-like protein 3	X:32487876-32590728	347404	LANCL3
LOC111094568	LOC111094568	uncharacterized LOC111094568	38:22388883-22391856	<none>	<none>
LOC102151393	LOC102151393	"uncharacterized LOC102151393, transcript variant X4"	4:88936248-88943440	<none>	<none>
LOC119877488	LOC119877488	uncharacterized LOC119877488	24:43169618-43179719	<none>	<none>
LOC119873800	LOC119873800	U12 minor spliceosomal RNA	10:23809807-23809956	<none>	<none>
LOC119870595	LOC119870595	U5 spliceosomal RNA	2:83838226-83838342	<none>	<none>
LOC102155817	LOC102155817	"uncharacterized LOC102155817, transcript variant X6"	36:19373161-19475565	<none>	<none>
LOC119877911	LOC119877911	uncharacterized LOC119877911	37:1978026-1990706	<none>	<none>
LOC119867934	LOC119867934	uncharacterized LOC119867934	37:9924092-9936460	<none>	<none>
LOC119865847	LOC119865847	uncharacterized LOC119865847	25:30058554-30079914	<none>	<none>
LOC102154481	LOC102154481	uncharacterized LOC102154481	10:3681029-3692134	<none>	<none>
LOC102156835	LOC102156835	uncharacterized LOC102156835	16:24023621-24027230	<none>	<none>
LOC119867891	LOC119867891	uncharacterized LOC119867891	37:1634144-1637492	<none>	<none>
LOC102156404	LOC102156404	uncharacterized LOC102156404	9:61040752-61060447	<none>	<none>
HEATR9	HEATR9	protein HEATR9	9:37791059-37804521	256957	HEATR9
AGMO	AGMO	alkylglycerol monooxygenase	14:29912164-30256735	392636	AGMO
SDK2	SDK2	protein sidekick-2	9:7489403-7742207	54549	SDK2
LOC119873514	LOC119873514	small nucleolar RNA U3	0:38331-38544	<none>	<none>
LOC609816	LOC609816	protein pitchfork-like	17:64765114-64770329	<none>	<none>
LOC610275	LOC610275	uncharacterized gene	35:15440973-15442256	<none>	<none>
LOC102154968	LOC102154968	"uncharacterized LOC102154968, transcript variant X3"	4:28801041-29034582	<none>	<none>
LOC119873060	LOC119873060	U1 spliceosomal RNA	8:13620155-13620318	<none>	<none>
LOC119872498	LOC119872498	"uncharacterized LOC119872498, transcript variant X2"	7:10029120-10041101	<none>	<none>
LOC119876732	LOC119876732	uncharacterized LOC119876732	10:49014058-49027326	<none>	<none>
GAL	GAL	galanin and GMAP prepropeptide	18:49743208-49749012	51083	GAL
LOC119876166	LOC119876166	uncharacterized LOC119876166	4:14092027-14100007	<none>	<none>
LOC111095511	LOC111095511	"uncharacterized LOC111095511, transcript variant X2"	4:29483436-29498453	<none>	<none>
LOC119864721	LOC119864721	"uncharacterized LOC119864721, transcript variant X1"	20:46316240-46330626	<none>	<none>
H2BC12	H2BC12	histone H2B type 1-K	35:26038286-26038706	<none>	<none>
LOC119873058	LOC119873058	U6 spliceosomal RNA	8:4542379-4542482	<none>	<none>
LOC119874347	LOC119874347	small nucleolar RNA SNORD50	12:45899793-45899862	<none>	<none>
LOC119873217	LOC119873217	uncharacterized LOC119873217	9:4431722-4435016	<none>	<none>
LOC480600	LOC480600	chemokine (C-C motif) ligand 3	9:37674911-37676559	<none>	<none>
LOC111093520	LOC111093520	"uncharacterized LOC111093520, transcript variant X7"	2:74717270-74738295	<none>	<none>
LOC102157003	LOC102157003	uncharacterized LOC102157003	10:8117900-8122655	<none>	<none>
PANK1	PANK1	pantothenate kinase 1	28:4627511-4685087	53354	PANK1
NANOS1	NANOS1	nanos homolog 1	28:29584430-29585323	340719	NANOS1
LOC119876684	LOC119876684	U2 spliceosomal RNA	9:19743708-19743898	<none>	<none>
STX1B	STX1B	syntaxin-1B	6:17364988-17382509	112755	STX1B
LOC106559351	LOC106559351	60S ribosomal protein L7-like	10:1125421-1126816	<none>	<none>
DCC	DCC	netrin receptor DCC	1:21906717-22993897	1630	DCC
LRIT3	LRIT3	"leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3"	32:9846854-9866284	345193	LRIT3
PCLO	PCLO	protein piccolo	18:22596545-22986291	27445	PCLO
SPRY3	SPRY3	protein sprouty homolog 3	X:124560893-124747839	10251	SPRY3
LOC119869395	LOC119869395	translation initiation factor IF-2-like	15:38327940-38334206	<none>	<none>
GPR15	GPR15	G-protein coupled receptor 15	33:5725631-5754875	2838	GPR15
LOC119873790	LOC119873790	small nucleolar RNA U83B	10:26705997-26706090	<none>	<none>
SNAP91	SNAP91	synaptosome associated protein 91	12:44138511-44276836	9892	SNAP91
KIAA1549L	KIAA1549L	UPF0606 protein KIAA1549L homolog	18:34425987-34563997	25758	KIAA1549L
LOC119873588	LOC119873588	uncharacterized LOC119873588	10:11426504-11429425	<none>	<none>
LOC119863960	LOC119863960	MAP6 domain-containing protein 1	34:16956945-16957354	79929	MAP6D1
LOC119870660	LOC119870660	uncharacterized LOC119870660	1:44847322-44851430	<none>	<none>
LOC106559586	LOC106559586	"uncharacterized LOC106559586, transcript variant X5"	12:64388678-64410505	<none>	<none>
ESRP1	ESRP1	epithelial splicing regulatory protein 1	29:39986649-40042146	54845	ESRP1
NUDT11	NUDT11	diphosphoinositol polyphosphate phosphohydrolase 3-beta	X:44408760-44416307	55190	NUDT11
LOC111092647	LOC111092647	"uncharacterized LOC111092647, transcript variant X1"	2:57237274-57240050	<none>	<none>
LOC119869796	LOC119869796	uncharacterized protein LOC119869796	17:59659747-59683115	<none>	<none>
SYNPO2L	SYNPO2L	synaptopodin 2-like protein	4:24900946-24910606	79933	SYNPO2L
DMP1	DMP1	dentin matrix acidic phosphoprotein 1	32:28939356-28952608	1758	DMP1
RASGRF2	RASGRF2	ras-specific guanine nucleotide-releasing factor 2	3:26162682-26402121	5924	RASGRF2
FXYD2	FXYD2	FXYD domain containing ion transport regulator 2	5:15840422-15847514	486	FXYD2
LOC119868364	LOC119868364	putative tetratricopeptide repeat protein 41	15:42693589-42716580	<none>	<none>
LOC102156228	LOC102156228	"uncharacterized LOC102156228, transcript variant X1"	5:31081780-31148903	<none>	<none>
LOC119869112	LOC119869112	uncharacterized gene	26:26199356-26206983	<none>	<none>
LOC119876473	LOC119876473	uncharacterized gene	8:28984013-28987124	<none>	<none>
KCNMB3	KCNMB3	calcium-activated potassium channel subunit beta-3	34:12856014-12879143	27094	KCNMB3
LOC111092749	LOC111092749	"uncharacterized LOC111092749, transcript variant X1"	27:38863520-38890108	<none>	<none>
LOC119874799	LOC119874799	uncharacterized LOC119874799	17:20200155-20208306	<none>	<none>
MKRN2OS	MKRN2OS	MKRN2 opposite strand protein	20:6100817-6107548	100129480	MKRN2OS
LOC111090613	LOC111090613	uncharacterized LOC111090613	1:19528598-19531603	<none>	<none>
LOC119867958	LOC119867958	"uncharacterized LOC119867958, transcript variant X1"	37:22552193-22594225	<none>	<none>
LOC119874050	LOC119874050	"uncharacterized LOC119874050, transcript variant X4"	11:69614363-69635896	<none>	<none>
NOS1	NOS1	nitric oxide synthase 1	26:14122943-14206510	4842	NOS1
LOC119866719	LOC119866719	uncharacterized LOC119866719	14:39071995-39088496	<none>	<none>
INCA1	INCA1	protein INCA1	5:31842403-31849078	388324	INCA1
LOC482848	LOC482848	uncharacterized gene	16:26770874-26772974	<none>	<none>
CLDN19	CLDN19	claudin-19	15:693867-699015	149461	CLDN19
LOC119872583	LOC119872583	"uncharacterized LOC119872583, transcript variant X2"	7:45414051-45443552	<none>	<none>
ADAM21	ADAM21	disintegrin and metalloproteinase domain-containing protein 21	8:44522701-44553570	<none>	<none>
LOC119870951	LOC119870951	uncharacterized LOC119870951	3:67349442-67370214	<none>	<none>
LOC119876543	LOC119876543	uncharacterized gene	8:74598250-74606051	<none>	<none>
LOC119878133	LOC119878133	collagen alpha-1(I) chain-like	X:123240499-123249057	<none>	<none>
LOC483161	LOC483161	uncharacterized gene	17:59375699-59381262	<none>	<none>
SELENOV	SELENOV	selenoprotein V	1:114508440-114517144	348303	SELENOV
LOC119869605	LOC119869605	uncharacterized gene	16:6609051-6610959	<none>	<none>
