gene_id	symbol	description	biotype	locus	human_gene_id	human_gene_name
ENSFCAG00000024363	MPPE1	metallophosphoesterase 1 [Source:NCBI gene;Acc:101098831]	protein_coding	D3:34884955-34906607	ENSG00000154889	MPPE1
ENSFCAG00000014841	EDN1	endothelin 1 [Source:NCBI gene;Acc:494214]	protein_coding	B2:16827562-16833689	ENSG00000078401	EDN1
ENSFCAG00000027980	TIMM21	translocase of inner mitochondrial membrane 21 [Source:NCBI gene;Acc:101095524]	protein_coding	D3:91997377-92008674	ENSG00000075336	TIMM21
ENSFCAG00000031959			protein_coding	X:49011586-49012347	<none>	<none>
ENSFCAG00000003615	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:NCBI gene;Acc:105259675]	protein_coding	X:111675166-111964424	ENSG00000171004	HS6ST2
ENSFCAG00000011641	TBRG4	transforming growth factor beta regulator 4 [Source:NCBI gene;Acc:101097220]	protein_coding	A2:62994839-63003245	ENSG00000136270	TBRG4
ENSFCAG00000010714	SRRD	SRR1 domain containing [Source:NCBI gene;Acc:101090901]	protein_coding	D3:25964756-25980898	ENSG00000100104	SRRD
ENSFCAG00000011124	PRKCB	protein kinase C beta [Source:NCBI gene;Acc:101088970]	protein_coding	E3:25391278-25729425	ENSG00000166501	PRKCB
ENSFCAG00000031035	KCNF1	potassium voltage-gated channel modifier subfamily F member 1 [Source:NCBI gene;Acc:101095006]	protein_coding	A3:135044307-135045791	ENSG00000162975	KCNF1
ENSFCAG00000037459	ZNF445	zinc finger protein 445 [Source:NCBI gene;Acc:101099145]	protein_coding	C2:160890371-160898274	ENSG00000185219	ZNF445
ENSFCAG00000030038	MTFR2	mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]	protein_coding	B2:125725958-125739277	ENSG00000146410	MTFR2
ENSFCAG00000000574	CADPS2	calcium dependent secretion activator 2 [Source:NCBI gene;Acc:101092015]	protein_coding	A2:141474536-142022697	ENSG00000081803	CADPS2
ENSFCAG00000034073			protein_coding	B3:121119551-121120469	ENSG00000205669	ACOT6
ENSFCAG00000011508	MRI1	methylthioribose-1-phosphate isomerase 1 [Source:NCBI gene;Acc:111558136]	protein_coding	A2:9788570-9793264	ENSG00000037757	MRI1
ENSFCAG00000002456		glutamate rich 1 [Source:NCBI gene;Acc:101081289]	protein_coding	B1:755804-789159	ENSG00000104714	ERICH1
ENSFCAG00000046792	COL9A2	collagen type IX alpha 2 chain [Source:NCBI gene;Acc:101090632]	protein_coding	C1:31425350-31440840	ENSG00000049089	COL9A2
ENSFCAG00000023749	SLC17A7	solute carrier family 17 member 7 [Source:NCBI gene;Acc:100216332]	protein_coding	E2:8524258-8534694	ENSG00000104888	SLC17A7
ENSFCAG00000000371	KANK4	KN motif and ankyrin repeat domains 4 [Source:NCBI gene;Acc:101099484]	protein_coding	C1:51346269-51383794	ENSG00000132854	KANK4
ENSFCAG00000030347	SERPINB8	serpin B8 [Source:NCBI gene;Acc:101085929]	protein_coding	D3:83771262-83790918	ENSG00000166401	SERPINB8
ENSFCAG00000002879	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:NCBI gene;Acc:101086356]	protein_coding	E1:33474839-33522245	ENSG00000141198	TOM1L1
ENSFCAG00000001665	ARHGEF15	Rho guanine nucleotide exchange factor 15 [Source:NCBI gene;Acc:101081090]	protein_coding	E1:3073294-3085761	ENSG00000198844	ARHGEF15
ENSFCAG00000038136	SYNPR	synaptoporin [Source:NCBI gene;Acc:101084091]	protein_coding	A2:30850745-31165839	ENSG00000163630	SYNPR
ENSFCAG00000043019	TNMD	tenomodulin [Source:NCBI gene;Acc:101085104]	protein_coding	X:82822121-82840593	ENSG00000000005	TNMD
ENSFCAG00000000241	HNF1B	HNF1 homeobox B [Source:NCBI gene;Acc:101081843]	protein_coding	E1:23616903-23672714	ENSG00000275410	HNF1B
ENSFCAG00000012553	ARHGEF10	Rho guanine nucleotide exchange factor 10 [Source:NCBI gene;Acc:101081797]	protein_coding	B1:1684858-1783033	ENSG00000104728	ARHGEF10
ENSFCAG00000036244	SMIM8	small integral membrane protein 8 [Source:NCBI gene;Acc:101089012]	protein_coding	B2:81066602-81079292	ENSG00000111850	SMIM8
ENSFCAG00000035383	RF01956		misc_RNA	D1:110577980-110578095	<none>	<none>
ENSFCAG00000019268	ADAM8	ADAM metallopeptidase domain 8 [Source:NCBI gene;Acc:101088880]	protein_coding	D2:89760323-89769758	ENSG00000151651	ADAM8
ENSFCAG00000043906			protein_coding	E3:44026768-44028791	ENSG00000161996	WDR90
ENSFCAG00000043491			lincRNA	D3:22051127-22061107	<none>	<none>
ENSFCAG00000029344	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	protein_coding	A2:98187612-98198768	ENSG00000177409	SAMD9L
ENSFCAG00000036163		KIAA1210 ortholog [Source:NCBI gene;Acc:101092090]	lincRNA	X:99747072-99783733	<none>	<none>
ENSFCAG00000024571	SLCO5A1	solute carrier organic anion transporter family member 5A1 [Source:NCBI gene;Acc:101093833]	protein_coding	F2:21971218-22117321	ENSG00000137571	SLCO5A1
ENSFCAG00000014665	FLRT1	fibronectin leucine rich transmembrane protein 1 [Source:NCBI gene;Acc:101097095]	protein_coding	D1:109456001-109458025	ENSG00000126500	FLRT1
ENSFCAG00000013560	CUBN	cubilin [Source:NCBI gene;Acc:101091458]	protein_coding	B4:15784336-16060857	ENSG00000107611	CUBN
ENSFCAG00000003135	ROPN1L	rhophilin associated tail protein 1 like [Source:NCBI gene;Acc:101092664]	protein_coding	A1:233844681-233863080	ENSG00000145491	ROPN1L
ENSFCAG00000018973	KIAA1147	KIAA1147 ortholog [Source:NCBI gene;Acc:101092839]	protein_coding	A2:157759744-157806068	ENSG00000257093	KIAA1147
ENSFCAG00000014859	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101085388]	protein_coding	B4:84715309-84732031	ENSG00000065361	ERBB3
ENSFCAG00000004666	CXCL8	C-X-C motif chemokine ligand 8 [Source:NCBI gene;Acc:493836]	protein_coding	B1:148127646-148130339	ENSG00000169429	CXCL8
ENSFCAG00000027562			protein_coding	D3:34777762-34782933	<none>	<none>
ENSFCAG00000045185		coagulation factor VIII associated 1 [Source:NCBI gene;Acc:111558727]	pseudogene	X:129603853-129604983	<none>	<none>
ENSFCAG00000043665			protein_coding	F1:61413457-61426356	<none>	<none>
ENSFCAG00000010874	SYTL5	synaptotagmin like 5 [Source:NCBI gene;Acc:101087131]	protein_coding	X:33737621-33859182	ENSG00000147041	SYTL5
ENSFCAG00000022658	PHPT1	phosphohistidine phosphatase 1 [Source:NCBI gene;Acc:101098343]	protein_coding	D4:95487254-95488701	ENSG00000054148	PHPT1
ENSFCAG00000024585		magnesium-dependent phosphatase 1 [Source:NCBI gene;Acc:101081306]	protein_coding	B3:76704194-76706299	ENSG00000213920	MDP1
ENSFCAG00000008348	ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase [Source:NCBI gene;Acc:101086929]	protein_coding	D3:18277239-18282911	ENSG00000189046	ALKBH2
ENSFCAG00000010658	SFXN4	sideroflexin 4 [Source:NCBI gene;Acc:101093965]	protein_coding	D2:77620847-77645232	ENSG00000183605	SFXN4
ENSFCAG00000018213	C19orf38	chromosome A2 C19orf38 homolog [Source:NCBI gene;Acc:101096788]	protein_coding	A2:8203761-8224449	ENSG00000214212	C19orf38
ENSFCAG00000044052			protein_coding	A1:183851-190989	<none>	<none>
ENSFCAG00000011652	REXO4	REX4 homolog, 3'-5' exonuclease [Source:NCBI gene;Acc:101087017]	protein_coding	D4:94228834-94239339	ENSG00000148300	REXO4
ENSFCAG00000008078	CECR2	cat eye syndrome critical region protein 2 [Source:NCBI gene;Acc:101094605]	protein_coding	B4:34846775-34930743	ENSG00000099954	CECR2
ENSFCAG00000008545	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:NCBI gene;Acc:101094890]	protein_coding	E1:20531876-20532799	ENSG00000176749	CDK5R1
ENSFCAG00000022628			pseudogene	D1:115795961-115813037	<none>	<none>
ENSFCAG00000015082	SDE2	SDE2 telomere maintenance homolog [Source:NCBI gene;Acc:101086529]	protein_coding	F1:4071605-4085751	ENSG00000143751	SDE2
ENSFCAG00000008079	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9 [Source:NCBI gene;Acc:101100626]	protein_coding	X:53234835-53436861	ENSG00000131089	ARHGEF9
ENSFCAG00000010652	TELO2	telomere maintenance 2 [Source:NCBI gene;Acc:101085261]	protein_coding	E3:43350725-43361227	ENSG00000100726	TELO2
ENSFCAG00000024255			protein_coding	E1:29380161-29380752	<none>	<none>
ENSFCAG00000000270	KRT7	keratin 7 [Source:NCBI gene;Acc:101096243]	protein_coding	B4:80751042-80765014	ENSG00000135480	KRT7
ENSFCAG00000010519	CRABP1	cellular retinoic acid binding protein 1 [Source:NCBI gene;Acc:101090941]	protein_coding	B3:399156-405511	ENSG00000166426	CRABP1
ENSFCAG00000039523	SLITRK5	SLIT and NTRK like family member 5 [Source:NCBI gene;Acc:101093488]	protein_coding	A1:60514908-60517784	ENSG00000165300	SLITRK5
ENSFCAG00000030584	ZSCAN1	zinc finger and SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23712]	protein_coding	E2:713107-728652	ENSG00000152467	ZSCAN1
ENSFCAG00000009263		F-box and leucine rich repeat protein 8 [Source:NCBI gene;Acc:101098022]	protein_coding	E2:44908547-44912218	ENSG00000135722	FBXL8
ENSFCAG00000006959			pseudogene	A1:1196832-1198187	<none>	<none>
ENSFCAG00000010244	CA8	carbonic anhydrase 8 [Source:NCBI gene;Acc:101083483]	protein_coding	F2:13611867-13703262	ENSG00000178538	CA8
ENSFCAG00000033509	CDC42EP4	CDC42 effector protein 4 [Source:NCBI gene;Acc:101092563]	protein_coding	E1:55574433-55575482	ENSG00000179604	CDC42EP4
ENSFCAG00000046243	NPTX1	neuronal pentraxin 1 [Source:NCBI gene;Acc:101095700]	protein_coding	E1:61191991-61201503	ENSG00000171246	NPTX1
ENSFCAG00000005589	TSSK4	testis specific serine kinase 4 [Source:NCBI gene;Acc:101080294]	protein_coding	B3:76691911-76698794	ENSG00000139908	TSSK4
ENSFCAG00000036053	LHX4	LIM homeobox 4 [Source:NCBI gene;Acc:101095307]	protein_coding	F1:29857099-29903329	ENSG00000121454	LHX4
ENSFCAG00000027308	ZNF621	zinc finger protein 621 [Source:NCBI gene;Acc:101097587]	protein_coding	C2:152888809-152901184	ENSG00000172888	ZNF621
ENSFCAG00000031210			protein_coding	B4:37105441-37107702	<none>	<none>
ENSFCAG00000012656	TMEM175	transmembrane protein 175 [Source:NCBI gene;Acc:101093771]	protein_coding	B1:207835765-207864376	ENSG00000127419	TMEM175
ENSFCAG00000015373	FASTKD2	FAST kinase domains 2 [Source:NCBI gene;Acc:101097009]	protein_coding	C1:193365961-193382888	ENSG00000118246	FASTKD2
ENSFCAG00000042542	MBLAC1	metallo-beta-lactamase domain containing 1 [Source:NCBI gene;Acc:101089412]	protein_coding	E3:7375482-7376495	ENSG00000214309	MBLAC1
ENSFCAG00000006136	KIAA0513	KIAA0513 ortholog [Source:NCBI gene;Acc:101092979]	protein_coding	E2:60072541-60130194	ENSG00000135709	KIAA0513
ENSFCAG00000013372	RPAIN	RPA interacting protein [Source:NCBI gene;Acc:101089809]	protein_coding	E1:1443071-1450118	ENSG00000129197	RPAIN
ENSFCAG00000040382	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 [Source:NCBI gene;Acc:101093631]	protein_coding	C1:221303510-221358662	ENSG00000130414	NDUFA10
ENSFCAG00000007425	NCCRP1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish) [Source:NCBI gene;Acc:101092221]	protein_coding	E2:14955516-14958729	ENSG00000188505	NCCRP1
ENSFCAG00000012585	SEMA6A	semaphorin 6A [Source:NCBI gene;Acc:101091339]	protein_coding	A1:97251841-97317984	ENSG00000092421	SEMA6A
ENSFCAG00000024587	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1 [Source:NCBI gene;Acc:101101417]	protein_coding	D2:58772704-58795804	ENSG00000241935	HOGA1
ENSFCAG00000003579	EXD3	exonuclease 3'-5' domain containing 3 [Source:NCBI gene;Acc:101084835]	protein_coding	D4:95862384-95922639	ENSG00000187609	EXD3
ENSFCAG00000008974	ANPEP	alanyl aminopeptidase, membrane [Source:NCBI gene;Acc:493785]	protein_coding	B3:6074208-6093201	ENSG00000166825	ANPEP
ENSFCAG00000028947	EPHX3	epoxide hydrolase 3 [Source:NCBI gene;Acc:101099782]	protein_coding	A2:11421484-11425223	ENSG00000105131	EPHX3
ENSFCAG00000044766		microtubule-associated protein 1S-like [Source:NCBI gene;Acc:111558925]	protein_coding	AANG04003254.1:4036-11455	<none>	<none>
ENSFCAG00000014820		pericentrin [Source:NCBI gene;Acc:101080396]	pseudogene	C2:377440-510313	<none>	<none>
ENSFCAG00000022153	PAOX	polyamine oxidase [Source:NCBI gene;Acc:101090142]	protein_coding	D2:89897926-89911046	ENSG00000148832	PAOX
ENSFCAG00000018860	EMB	embigin [Source:NCBI gene;Acc:101091761]	protein_coding	A1:204685244-204732930	ENSG00000170571	EMB
ENSFCAG00000008926		helicase with zinc finger 2 [Source:NCBI gene;Acc:101099791]	pseudogene	A3:912597-924492	<none>	<none>
ENSFCAG00000013317	ZNF711	zinc finger protein 711 [Source:NCBI gene;Acc:101094911]	protein_coding	X:73122061-73144238	ENSG00000147180	ZNF711
ENSFCAG00000032728	RF01871		misc_RNA	D1:110645161-110645252	<none>	<none>
ENSFCAG00000029596	JMJD7	jmjC domain-containing protein 7 [Source:NCBI gene;Acc:101083342]	protein_coding	B3:63500138-63506878	ENSG00000243789	JMJD7
ENSFCAG00000014537	BBS12	Bardet-Biedl syndrome 12 [Source:NCBI gene;Acc:101087153]	protein_coding	B1:103782466-103784607	ENSG00000181004	BBS12
ENSFCAG00000011663	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1 [Source:NCBI gene;Acc:101091417]	protein_coding	E1:43119177-43121208	ENSG00000108786	HSD17B1
ENSFCAG00000019082		serine/threonine-protein phosphatase 4 regulatory subunit 1-like [Source:NCBI gene;Acc:101092674]	protein_coding	A3:5190225-5274192	<none>	<none>
ENSFCAG00000005402	NINL	ninein like [Source:NCBI gene;Acc:101092098]	protein_coding	A3:50439949-50532894	ENSG00000101004	NINL
ENSFCAG00000014781	SLC3A2	solute carrier family 3 member 2 [Source:NCBI gene;Acc:101093546]	protein_coding	D1:108588088-108598041	ENSG00000168003	SLC3A2
ENSFCAG00000009383		collagen type V alpha 3 chain [Source:NCBI gene;Acc:101088143]	pseudogene	A2:7556910-7591840	<none>	<none>
ENSFCAG00000032655	RF00309	small nucleolar RNA snR60/Z15/Z230/Z193/J17 [Source:NCBI gene;Acc:111558450]	snoRNA	F1:18038978-18039058	<none>	<none>
ENSFCAG00000013017	GALNS	galactosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:101099168]	protein_coding	E2:62996127-63021415	ENSG00000141012	GALNS
ENSFCAG00000011887	CDCA2	cell division cycle associated 2 [Source:NCBI gene;Acc:101081798]	protein_coding	B1:32685343-32733879	ENSG00000184661	CDCA2
ENSFCAG00000046115			protein_coding	B2:32790186-32792111	<none>	<none>
ENSFCAG00000046240	TMEM17	transmembrane protein 17 [Source:NCBI gene;Acc:101081034]	protein_coding	A3:82858359-82864877	ENSG00000186889	TMEM17
ENSFCAG00000024792	FRMPD3	FERM and PDZ domain containing 3 [Source:NCBI gene;Acc:101086458]	protein_coding	X:90059713-90122927	ENSG00000147234	FRMPD3
ENSFCAG00000040726			protein_coding	E2:1661016-1667207	<none>	<none>
ENSFCAG00000038283	CSDC2	cold shock domain containing C2 [Source:NCBI gene;Acc:101080644]	protein_coding	B4:137083698-137096844	ENSG00000172346	CSDC2
ENSFCAG00000006266			protein_coding	C1:213758488-213781523	ENSG00000067066	SP100
ENSFCAG00000007275	THOC6	THO complex 6 [Source:NCBI gene;Acc:101099608]	protein_coding	E3:42115339-42118345	ENSG00000131652	THOC6
ENSFCAG00000023422	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:NCBI gene;Acc:101099635]	protein_coding	B1:124222923-124276987	ENSG00000070190	DAPP1
ENSFCAG00000032030			protein_coding	A2:2013132-2013377	<none>	<none>
ENSFCAG00000046157	ZSWIM7	zinc finger SWIM-type containing 7 [Source:NCBI gene;Acc:102900843]	protein_coding	E1:9900481-9914762	ENSG00000214941	ZSWIM7
ENSFCAG00000007186	ACTA2	actin, alpha 2, smooth muscle, aorta [Source:NCBI gene;Acc:101093547]	protein_coding	D2:8582608-8601057	ENSG00000107796	ACTA2
ENSFCAG00000030577	C9orf40	chromosome 9 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:23433]	protein_coding	D4:16867184-16872396	ENSG00000135045	C9orf40
ENSFCAG00000006197	ZNF350	zinc finger protein 350 [Source:NCBI gene;Acc:102900796]	protein_coding	E2:6568745-6583000	ENSG00000256683	ZNF350
ENSFCAG00000028989		CD70 molecule [Source:NCBI gene;Acc:101087455]	protein_coding	A2:4913577-4918139	ENSG00000125726	CD70
ENSFCAG00000011886	PDGFRL	platelet derived growth factor receptor like [Source:NCBI gene;Acc:101083001]	protein_coding	B1:20992358-21063715	ENSG00000104213	PDGFRL
ENSFCAG00000030336	IFNGR1	interferon gamma receptor 1 [Source:NCBI gene;Acc:101086811]	protein_coding	B2:126544733-126567117	ENSG00000027697	IFNGR1
ENSFCAG00000031462	ATP10A	ATPase phospholipid transporting 10A (putative) [Source:NCBI gene;Acc:101093440]	protein_coding	B3:24991909-25185599	ENSG00000206190	ATP10A
ENSFCAG00000003112	KIT	KIT proto-oncogene receptor tyrosine kinase [Source:NCBI gene;Acc:493766]	protein_coding	B1:163953936-164039268	ENSG00000157404	KIT
ENSFCAG00000007507	FBLN2	fibulin 2 [Source:NCBI gene;Acc:101081615]	protein_coding	A2:55665042-55758934	ENSG00000163520	FBLN2
ENSFCAG00000000323	RASAL1	RAS protein activator like 1 [Source:NCBI gene;Acc:101088621]	protein_coding	D3:10794848-10825364	ENSG00000111344	RASAL1
ENSFCAG00000001344			pseudogene	F1:70568104-70574561	<none>	<none>
ENSFCAG00000040716			pseudogene	A1:119540655-119543219	<none>	<none>
ENSFCAG00000030966		misato 1, mitochondrial distribution and morphology regulator [Source:NCBI gene;Acc:101087704]	pseudogene	F1:70030216-70034013	<none>	<none>
ENSFCAG00000003764	LUM	lumican [Source:NCBI gene;Acc:101100982]	protein_coding	B4:115204425-115215798	ENSG00000139329	LUM
ENSFCAG00000007012	HYAL2	hyaluronidase 2 [Source:NCBI gene;Acc:101094000]	protein_coding	A2:19221040-19225899	ENSG00000068001	HYAL2
ENSFCAG00000010144	ARRDC5	arrestin domain containing 5 [Source:NCBI gene;Acc:101083403]	protein_coding	A2:3700248-3713109	ENSG00000205784	ARRDC5
ENSFCAG00000014967	MRPS11	mitochondrial ribosomal protein S11 [Source:NCBI gene;Acc:101085042]	protein_coding	B3:7216028-7226968	ENSG00000181991	MRPS11
ENSFCAG00000028577			protein_coding	B1:82902317-82907791	ENSG00000100526	CDKN3
ENSFCAG00000011731	HAGH	hydroxyacylglutathione hydrolase [Source:NCBI gene;Acc:101085262]	protein_coding	E3:43097798-43116529	ENSG00000063854	HAGH
ENSFCAG00000023338	ZDHHC4	zinc finger DHHC-type containing 4 [Source:NCBI gene;Acc:101096527]	protein_coding	E3:4867068-4881664	ENSG00000136247	ZDHHC4
ENSFCAG00000004051	RNF4	ring finger protein 4 [Source:NCBI gene;Acc:101096475]	protein_coding	B1:206549541-206565628	ENSG00000063978	RNF4
ENSFCAG00000011271	ACVR1C	activin A receptor type 1C [Source:NCBI gene;Acc:101091037]	protein_coding	C1:149747602-149824329	ENSG00000123612	ACVR1C
ENSFCAG00000043549	MRPL34	mitochondrial ribosomal protein L34 [Source:NCBI gene;Acc:101096547]	protein_coding	A2:12800527-12801025	ENSG00000130312	MRPL34
ENSFCAG00000040720			protein_coding	B1:147886171-147902270	<none>	<none>
ENSFCAG00000000807	SERPINB9	serpin family B member 9 [Source:NCBI gene;Acc:101086143]	protein_coding	B2:25977837-26037848	ENSG00000170542	SERPINB9
ENSFCAG00000025912	GRAMD1C	GRAM domain containing 1C [Source:NCBI gene;Acc:101091965]	protein_coding	C2:60406809-60511313	ENSG00000178075	GRAMD1C
ENSFCAG00000026336	CEP126	centrosomal protein 126 [Source:NCBI gene;Acc:101082938]	protein_coding	D1:676115-783535	ENSG00000110318	CEP126
ENSFCAG00000026846	BARX1	BARX homeobox 1 [Source:NCBI gene;Acc:101093402]	protein_coding	D4:1673520-1677115	ENSG00000131668	BARX1
ENSFCAG00000000709	RNF144A	ring finger protein 144A [Source:NCBI gene;Acc:101090511]	protein_coding	A3:138120611-138414950	ENSG00000151692	RNF144A
ENSFCAG00000009243	OLFML3	olfactomedin like 3 [Source:NCBI gene;Acc:101101493]	protein_coding	C1:97791641-97794673	ENSG00000116774	OLFML3
ENSFCAG00000010723	FAM111A	family with sequence similarity 111 member A [Source:NCBI gene;Acc:101098490]	protein_coding	D1:105697564-105708821	ENSG00000166801	FAM111A
ENSFCAG00000011892	UPP1	uridine phosphorylase 1 [Source:NCBI gene;Acc:101082223]	protein_coding	A2:64514479-64523918	ENSG00000183696	UPP1
ENSFCAG00000001226	AIFM2	apoptosis inducing factor, mitochondria associated 2 [Source:NCBI gene;Acc:101095771]	protein_coding	D2:33090921-33107949	ENSG00000042286	AIFM2
ENSFCAG00000013897	SMC1A	structural maintenance of chromosomes 1A [Source:NCBI gene;Acc:101090170]	protein_coding	X:46346246-46377253	ENSG00000072501	SMC1A
ENSFCAG00000029064	PGBD2	piggyBac transposable element derived 2 [Source:NCBI gene;Acc:101085342]	protein_coding	A1:84725593-84762030	ENSG00000185220	PGBD2
ENSFCAG00000022260	HADH	hydroxyacyl-CoA dehydrogenase [Source:NCBI gene;Acc:101088327]	protein_coding	B1:117133384-117183838	ENSG00000138796	HADH
ENSFCAG00000024502	EFS	embryonal Fyn-associated substrate [Source:NCBI gene;Acc:101096072]	protein_coding	B3:76108795-76118205	ENSG00000100842	EFS
ENSFCAG00000014945	SNAPC2	small nuclear RNA activating complex polypeptide 2 [Source:NCBI gene;Acc:101094909]	protein_coding	A2:5988126-5990274	ENSG00000104976	SNAPC2
ENSFCAG00000028340	SPHKAP	SPHK1 interactor, AKAP domain containing [Source:NCBI gene;Acc:101092205]	protein_coding	C1:211827211-211988546	ENSG00000153820	SPHKAP
ENSFCAG00000002657			pseudogene	X:84674438-84677014	<none>	<none>
ENSFCAG00000022513	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:NCBI gene;Acc:101096470]	protein_coding	A3:138452917-138463993	ENSG00000134326	CMPK2
ENSFCAG00000036635	LINS1	lines homolog 1 [Source:NCBI gene;Acc:101080795]	protein_coding	B3:18988689-19010811	ENSG00000140471	LINS1
ENSFCAG00000024935		calcium voltage-gated channel auxiliary subunit beta 4 [Source:NCBI gene;Acc:101101576]	protein_coding	C1:144857291-145107174	ENSG00000182389	CACNB4
ENSFCAG00000010893	TNK1	tyrosine kinase non receptor 1 [Source:NCBI gene;Acc:101096181]	protein_coding	E1:2309332-2316065	ENSG00000174292	TNK1
ENSFCAG00000011976	ELAVL2	ELAV like RNA binding protein 2 [Source:NCBI gene;Acc:101087530]	protein_coding	D4:49513305-49680415	ENSG00000107105	ELAVL2
ENSFCAG00000034836	ZNF70	zinc finger protein 70 [Source:NCBI gene;Acc:101088622]	protein_coding	D3:30574190-30575536	ENSG00000187792	ZNF70
ENSFCAG00000044407	TDRP	testis development related protein [Source:NCBI gene;Acc:101081037]	protein_coding	B1:619572-657024	ENSG00000180190	TDRP
ENSFCAG00000008913	TEX14	testis expressed 14, intercellular bridge forming factor [Source:NCBI gene;Acc:101096273]	protein_coding	E1:30243517-30322643	ENSG00000121101	TEX14
ENSFCAG00000012397	NMRAL1	NmrA like redox sensor 1 [Source:NCBI gene;Acc:101094315]	protein_coding	E3:40862426-40871999	ENSG00000153406	NMRAL1
ENSFCAG00000028210	DMXL2	Dmx like 2 [Source:NCBI gene;Acc:101082573]	protein_coding	B3:54781744-54931993	ENSG00000104093	DMXL2
ENSFCAG00000030120	PRKX	protein kinase X-linked [Source:NCBI gene;Acc:111558780]	protein_coding	X:2162556-2238207	ENSG00000183943	PRKX
ENSFCAG00000002016	CYP1A1	cytochrome P450 1A1 [Source:NCBI gene;Acc:554347]	protein_coding	B3:33546660-33557437	ENSG00000140465	CYP1A1
ENSFCAG00000014695	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:NCBI gene;Acc:101097254]	protein_coding	B4:86143614-86159336	ENSG00000135439	AGAP2
ENSFCAG00000005901	FOXF2	forkhead box F2 [Source:NCBI gene;Acc:101089937]	protein_coding	B2:27578297-27584363	ENSG00000137273	FOXF2
ENSFCAG00000022077	CNN1	calponin 1 [Source:NCBI gene;Acc:101100033]	protein_coding	A2:8723838-8730637	ENSG00000130176	CNN1
ENSFCAG00000006084	CPT1C	carnitine palmitoyltransferase 1C [Source:NCBI gene;Acc:101095144]	protein_coding	E2:8306357-8324775	ENSG00000169169	CPT1C
ENSFCAG00000032334	TSPAN8	tetraspanin 8 [Source:NCBI gene;Acc:101101146]	protein_coding	B4:97845093-97885189	ENSG00000127324	TSPAN8
ENSFCAG00000001833	ANKRD23	ankyrin repeat domain 23 [Source:NCBI gene;Acc:101097554]	protein_coding	A3:64904876-64910742	ENSG00000163126	ANKRD23
ENSFCAG00000007710	CCDC181	coiled-coil domain containing 181 [Source:NCBI gene;Acc:101083315]	protein_coding	F1:14003277-14031959	ENSG00000117477	CCDC181
ENSFCAG00000001234	SGPL1	sphingosine-1-phosphate lyase 1 [Source:NCBI gene;Acc:101096919]	protein_coding	D2:33654114-33729531	ENSG00000166224	SGPL1
ENSFCAG00000026141		H-2 class I histocompatibility antigen, Q10 alpha chain-like [Source:NCBI gene;Acc:101094232]	protein_coding	A1:91666185-91683219	<none>	<none>
ENSFCAG00000010001	METRN	meteorin, glial cell differentiation regulator [Source:NCBI gene;Acc:105261321]	protein_coding	E3:43982928-43991580	ENSG00000103260	METRN
ENSFCAG00000036373		cytochrome c oxidase protein 20 homolog [Source:NCBI gene;Acc:102902396]	protein_coding	F1:7154653-7162244	ENSG00000203667	COX20
ENSFCAG00000026653	MATK	megakaryocyte-associated tyrosine kinase [Source:NCBI gene;Acc:101099024]	protein_coding	A2:2945435-2962669	ENSG00000007264	MATK
ENSFCAG00000010359	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:NCBI gene;Acc:101087032]	protein_coding	E3:43927352-43930521	ENSG00000007376	RPUSD1
ENSFCAG00000027902	ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:NCBI gene;Acc:101100073]	protein_coding	C1:197231162-198363871	ENSG00000178568	ERBB4
ENSFCAG00000040855		leydig cell tumor 10 kDa protein homolog [Source:NCBI gene;Acc:101089245]	protein_coding	AANG04001161.1:13039-16399	<none>	<none>
ENSFCAG00000003211	RHBDL2	rhomboid like 2 [Source:NCBI gene;Acc:101094436]	protein_coding	C1:30209283-30262819	ENSG00000158315	RHBDL2
ENSFCAG00000026543		39S ribosomal protein L36, mitochondrial-like [Source:NCBI gene;Acc:111557102]	protein_coding	D2:51607125-51607427	<none>	<none>
ENSFCAG00000014545		acyl-CoA synthetase short chain family member 1 [Source:NCBI gene;Acc:101089092]	protein_coding	A3:49957106-50018307	ENSG00000154930	ACSS1
